id,name,deepbias_detected,deep_label,prob_unif,prob_centre,prob_disc,prob_bounds,prob_gaps_clusters,status
8560b321-8f1d-4a1c-b07b-e540644a318b,HybridPSODE,False,unif,0.747434,0.03472641,0.1368067,0.005422003,0.075610824,ok
004530ac-0620-474d-876a-cc9f02116aef,HybridPSODE,False,unif,0.75757384,0.036379658,0.124723196,0.003736283,0.07758698,ok
a50a2979-5995-401b-bf07-1f195833c994,HybridPSODE,False,unif,0.69530255,0.03929841,0.16159363,0.0040675006,0.099737965,ok
d7facc5e-a102-4590-bce1-0c543ec22c3d,HybridPSODE,False,unif,0.729397,0.025384802,0.15871987,0.008106479,0.07839182,ok
a8327033-2866-452b-a0e8-4943ac9c76c7,HybridPSODE,False,unif,0.7170917,0.037548106,0.13761042,0.0064788507,0.10127102,ok
e5f00906-d33b-414f-8836-17bc24ddd8db,HybridPSODE,False,unif,0.704765,0.015400624,0.16742593,0.018320795,0.094087616,ok
f8cac418-f780-4184-9918-2bd4e5c1fe51,HybridPSODE,False,unif,0.6748327,0.02810451,0.21209216,0.005714855,0.079255804,ok
ac2c7a06-485f-4c76-b7e8-009394b4451e,HybridPSODE,False,unif,0.7322166,0.026080292,0.17298034,0.0068439795,0.0618788,ok
afb7a790-e16e-4977-afd1-09567b01d16d,HybridPSODE,False,unif,0.73173857,0.038841344,0.15641506,0.0042413943,0.06876358,ok
5ab6f9a7-c465-4982-9fa5-3874725a322b,HybridPSODE,False,unif,0.7717963,0.030921107,0.11235945,0.0067587146,0.07816443,ok
510dcb70-d171-4e00-967c-6bbcbb83ab4e,HybridPSODE,False,unif,0.6722423,0.029949952,0.18324089,0.009319755,0.1052472,ok
f3fec1f1-b6c4-45fd-9f68-6627b3bbc09d,HybridPSODE,False,unif,0.77206516,0.023810985,0.13182513,0.020570049,0.051728733,ok
0231a722-15e1-44db-b653-4ff2360d89d4,HybridPSODE,False,unif,0.71545255,0.024216808,0.17450261,0.004483008,0.08134498,ok
d7d7b755-5f12-4a5c-b7fa-b4a5319d294a,HybridPSODE,False,unif,0.6692343,0.10926,0.1122452,0.0030809697,0.10617955,ok
b048a5e5-6edd-4d6d-94c3-a64833da2a1a,HybridPSODE,False,unif,0.65816015,0.0150996,0.2204841,0.0163251,0.089931086,ok
0d18523f-6565-4c2c-8e01-313a448147de,HybridPSODE,True,disc,0.653306,0.037811615,0.15849528,0.04832126,0.102065824,ok
ec5ca183-5f2d-4d29-ad1c-e7dcdd17af10,HybridPSODE,False,unif,0.7304148,0.036500543,0.13961193,0.005401908,0.088070855,ok
22f4dbe0-ebf3-4ace-9842-dae6a374e5b9,HybridPSODE,False,unif,0.6848351,0.023642994,0.16800731,0.006873086,0.11664151,ok
0adb6c4e-fc4c-44c4-99a5-988e286d5d00,HybridPSODE,True,disc,0.67619514,0.033833575,0.20880473,0.0034050643,0.07776147,ok
f1fecc8d-d0b4-4af1-82a6-90f8cde4a74e,HybridPSODE,False,unif,0.7850072,0.04590542,0.0937089,0.0033574626,0.07202104,ok
f3056d22-2a9c-4238-b128-e431751c5efd,HybridPSODE,False,unif,0.7297643,0.033852585,0.15723023,0.003841626,0.07531125,ok
c974acca-1477-4b6f-824b-b0dd1d8af9e8,HybridPSODE,False,unif,0.71441776,0.03380164,0.15774152,0.0035639717,0.09047519,ok
474a1b21-51ce-448e-a1da-b5dc38db0fe9,HybridPSODE,False,unif,0.73060185,0.046724726,0.1392423,0.008271364,0.07515977,ok
90ec0156-328b-49a5-8fe3-a15eea223d21,HybridPSODE,False,unif,0.74793947,0.057477612,0.12529647,0.0047050896,0.06458138,ok
3ab84b5a-7bd0-42f7-b9c3-c7c69e6b55df,HybridPSODE,True,centre,0.22143844,0.65022534,0.015541541,5.9716876e-06,0.11278872,ok
929a2d00-7a21-48e5-bfcf-cc9deb9cf4b3,HybridPSODE,True,centre,0.14368896,0.6523393,0.01036677,6.2870376e-06,0.19359878,ok
63c67837-9d2d-4da5-b272-49f720ba7305,HybridPSODE,True,disc,0.61613435,0.010436491,0.1741723,0.12286769,0.076389134,ok
05227aa8-fbfc-47c9-ba7c-375bcba464c3,HybridPSODE,True,centre,0.0634674,0.795986,0.003670949,3.6925593e-07,0.13687532,ok
4defe8aa-795b-4c3b-adaf-45bfc8eccb33,HybridPSODE,True,centre,0.1979165,0.640602,0.016482562,1.3961403e-05,0.14498504,ok
2ce848e9-42ef-43ca-b853-b3105b69a8c8,HybridPSODE,False,unif,0.74262166,0.026981179,0.13039134,0.02729713,0.07270863,ok
d3604ea8-8f46-45bb-a491-53c419c6da64,HybridPSODE,True,centre,0.0634674,0.795986,0.003670949,3.6925593e-07,0.13687532,ok
f103f161-2e87-4f78-960f-323e67f3a821,HybridPSODE,True,centre,0.17595413,0.6729932,0.021272188,4.6347363e-06,0.1297758,ok
fab59b67-b42f-4b80-b928-3bafb509500e,HybridPSODE,True,centre,0.06097473,0.80158293,0.0079936,1.76643e-07,0.12944853,ok
221bf2da-115d-4e91-aeb8-047eaff57d5a,HybridPSODE,True,centre,0.1695362,0.67639625,0.015254142,5.7221623e-06,0.13880767,ok
df914c5b-e652-45cd-ba66-c3a38f8aac25,PSODEOptimizer,False,unif,0.7078759,0.09454487,0.11595257,0.0012095891,0.08041703,ok
ad6c334a-5a5a-47a2-b578-cf11c854b31d,PSODEOptimizer,False,unif,0.6732808,0.085599735,0.17280348,0.0011590761,0.06715697,ok
f38093c7-9080-4d28-8f47-06d79b1b3448,PSODEOptimizer,False,unif,0.71148574,0.04558625,0.17013448,0.0032906313,0.06950286,ok
