id,name,deepbias_detected,deep_label,prob_unif,prob_centre,prob_disc,prob_bounds,prob_gaps_clusters,status
bae8bbb1-e223-401f-8c8b-577adb00e006,HybridPSOSA,False,unif,0.6910123,0.007695651,0.10284668,0.14351395,0.054931473,ok
bb65f752-c1ac-447d-8eca-2c628120bd86,HybridPSOSA,False,unif,0.7313387,0.093315616,0.08886025,0.016413387,0.07007209,ok
c595bca5-e120-4db2-8cf2-50c6a4dfc798,HybridPSODE,True,bounds,0.01923551,4.0465966e-07,0.044019498,0.91989946,0.016845156,ok
c816f589-ce80-47a2-b58a-ebef60693f11,HybridPSOSA,False,unif,0.71852666,0.018036172,0.07015917,0.11996744,0.07331057,ok
ca809a43-82d3-4ddb-9d7b-adddcbe45b33,HybridPSODE,True,bounds,0.01923551,4.0465966e-07,0.044019498,0.91989946,0.016845156,ok
cb1c8a4c-fd7f-4e5d-a198-80aaf4691d4e,HybridPSOSA,False,unif,0.6826886,0.013665359,0.08531149,0.13724214,0.08109242,ok
cceb96f0-f1a8-4f80-bbf4-a7966f0cbd2a,HybridPSODE,False,unif,0.6843604,0.14924541,0.06482438,0.006091832,0.09547794,ok
bd233598-de2f-420e-ba8f-6d0b7a6853da,HybridPSODE,True,bounds,0.01923551,4.0465966e-07,0.044019498,0.91989946,0.016845156,ok
be729fb3-4a74-4b75-8967-cdc5916d7517,HybridPSOSA,False,unif,0.6881477,0.048390977,0.10412154,0.09892042,0.060419254,ok
c0134e24-199d-4097-9bfa-73357e83fce3,HybridPSODE,True,bounds,0.00994497,1.1344496e-06,0.013162255,0.9587692,0.018122356,ok
c13b16cd-9bf2-415b-9efc-38145ec615c4,HybridOptimizer,True,bounds,5.0713544e-19,1.1111846e-36,7.7382286e-21,0.9999653,3.4776116e-05,ok
c4ab8a78-8fd8-45f4-9c5e-d5e9bd238ef6,HybridPSODE,True,bounds,0.01923551,4.0465966e-07,0.044019498,0.91989946,0.016845156,ok
cfff6283-738c-440f-bafa-c56fab394bcd,HybridPSOSA,False,unif,0.7049867,0.047588263,0.0856307,0.09842615,0.06336816,ok
d2afe666-8f81-4a0d-b099-80b580b9f9ef,HybridPSODE,True,bounds,0.009753912,2.4460763e-07,0.004630762,0.9533447,0.0322703,ok
