id,name,case_type,suite,fid,iid,dim,budget,auc,status
0035e1fc-6216-46b8-a937-64749e5e1491,Enhanced_Hybrid_PSO_DE,f0_only_biased,SBOX-COST,15,2,2,100,0.010000000000000009,ok
0035e1fc-6216-46b8-a937-64749e5e1491,Enhanced_Hybrid_PSO_DE,f0_only_biased,SBOX-COST,20,1,2,100,0.05803307708160477,ok
0035e1fc-6216-46b8-a937-64749e5e1491,Enhanced_Hybrid_PSO_DE,f0_only_biased,SBOX-COST,20,2,2,100,0.062442256338232305,ok
0035e1fc-6216-46b8-a937-64749e5e1491,Enhanced_Hybrid_PSO_DE,f0_only_biased,SBOX-COST,21,1,2,100,0.15325590274869394,ok
0035e1fc-6216-46b8-a937-64749e5e1491,Enhanced_Hybrid_PSO_DE,f0_only_biased,SBOX-COST,21,2,2,100,0.11991417612728139,ok
0035e1fc-6216-46b8-a937-64749e5e1491,Enhanced_Hybrid_PSO_DE,f0_only_biased,SBOX-COST,23,1,2,100,0.1505363671417712,ok
0035e1fc-6216-46b8-a937-64749e5e1491,Enhanced_Hybrid_PSO_DE,f0_only_biased,SBOX-COST,23,2,2,100,0.18906789280738479,ok
0035e1fc-6216-46b8-a937-64749e5e1491,Enhanced_Hybrid_PSO_DE,f0_only_biased,SBOX-COST,1,1,5,250,0.13800014694732687,ok
0035e1fc-6216-46b8-a937-64749e5e1491,Enhanced_Hybrid_PSO_DE,f0_only_biased,SBOX-COST,1,2,5,250,0.03268243037241858,ok
0035e1fc-6216-46b8-a937-64749e5e1491,Enhanced_Hybrid_PSO_DE,f0_only_biased,SBOX-COST,3,1,5,250,0.029192739272813295,ok
0035e1fc-6216-46b8-a937-64749e5e1491,Enhanced_Hybrid_PSO_DE,f0_only_biased,SBOX-COST,3,2,5,250,0.006637491072092994,ok
0035e1fc-6216-46b8-a937-64749e5e1491,Enhanced_Hybrid_PSO_DE,f0_only_biased,SBOX-COST,5,1,5,250,0.02818184567651716,ok
0035e1fc-6216-46b8-a937-64749e5e1491,Enhanced_Hybrid_PSO_DE,f0_only_biased,SBOX-COST,5,2,5,250,0.02615706327888212,ok
0035e1fc-6216-46b8-a937-64749e5e1491,Enhanced_Hybrid_PSO_DE,f0_only_biased,SBOX-COST,8,1,5,250,0.0040000000000000036,ok
0035e1fc-6216-46b8-a937-64749e5e1491,Enhanced_Hybrid_PSO_DE,f0_only_biased,SBOX-COST,8,2,5,250,0.0040000000000000036,ok
0035e1fc-6216-46b8-a937-64749e5e1491,Enhanced_Hybrid_PSO_DE,f0_only_biased,SBOX-COST,15,1,5,250,0.005500692008181152,ok
0035e1fc-6216-46b8-a937-64749e5e1491,Enhanced_Hybrid_PSO_DE,f0_only_biased,SBOX-COST,15,2,5,250,0.0052277161773949254,ok
0035e1fc-6216-46b8-a937-64749e5e1491,Enhanced_Hybrid_PSO_DE,f0_only_biased,SBOX-COST,20,1,5,250,0.09386530256238634,ok
0035e1fc-6216-46b8-a937-64749e5e1491,Enhanced_Hybrid_PSO_DE,f0_only_biased,SBOX-COST,20,2,5,250,0.06147217429595164,ok
0035e1fc-6216-46b8-a937-64749e5e1491,Enhanced_Hybrid_PSO_DE,f0_only_biased,SBOX-COST,21,1,5,250,0.1096221963331947,ok
0035e1fc-6216-46b8-a937-64749e5e1491,Enhanced_Hybrid_PSO_DE,f0_only_biased,SBOX-COST,21,2,5,250,0.09804822416113024,ok
0035e1fc-6216-46b8-a937-64749e5e1491,Enhanced_Hybrid_PSO_DE,f0_only_biased,SBOX-COST,23,1,5,250,0.14821198317965256,ok
0035e1fc-6216-46b8-a937-64749e5e1491,Enhanced_Hybrid_PSO_DE,f0_only_biased,SBOX-COST,23,2,5,250,0.14523115748715376,ok
003bcd0a-c451-43a1-bd1e-77851ceeba0f,EnhancedHybridDEPSO,f0_only_biased,SBOX-COST,1,1,2,100,0.1728590056785131,ok
003bcd0a-c451-43a1-bd1e-77851ceeba0f,EnhancedHybridDEPSO,f0_only_biased,SBOX-COST,1,2,2,100,0.17071003890737846,ok
003bcd0a-c451-43a1-bd1e-77851ceeba0f,EnhancedHybridDEPSO,f0_only_biased,SBOX-COST,3,1,2,100,0.10968358377292742,ok
003bcd0a-c451-43a1-bd1e-77851ceeba0f,EnhancedHybridDEPSO,f0_only_biased,SBOX-COST,3,2,2,100,0.08192619755342645,ok
003bcd0a-c451-43a1-bd1e-77851ceeba0f,EnhancedHybridDEPSO,f0_only_biased,SBOX-COST,5,1,2,100,0.2843676524204406,ok
003bcd0a-c451-43a1-bd1e-77851ceeba0f,EnhancedHybridDEPSO,f0_only_biased,SBOX-COST,5,2,2,100,0.43368371201318856,ok
003bcd0a-c451-43a1-bd1e-77851ceeba0f,EnhancedHybridDEPSO,f0_only_biased,SBOX-COST,8,1,2,100,0.175107065251622,ok
003bcd0a-c451-43a1-bd1e-77851ceeba0f,EnhancedHybridDEPSO,f0_only_biased,SBOX-COST,8,2,2,100,0.14136920757724714,ok
003bcd0a-c451-43a1-bd1e-77851ceeba0f,EnhancedHybridDEPSO,f0_only_biased,SBOX-COST,15,1,2,100,0.07391931642588423,ok
003bcd0a-c451-43a1-bd1e-77851ceeba0f,EnhancedHybridDEPSO,f0_only_biased,SBOX-COST,15,2,2,100,0.09014629319911482,ok
003bcd0a-c451-43a1-bd1e-77851ceeba0f,EnhancedHybridDEPSO,f0_only_biased,SBOX-COST,20,1,2,100,0.1503397307691272,ok
003bcd0a-c451-43a1-bd1e-77851ceeba0f,EnhancedHybridDEPSO,f0_only_biased,SBOX-COST,20,2,2,100,0.17348753007949247,ok
003bcd0a-c451-43a1-bd1e-77851ceeba0f,EnhancedHybridDEPSO,f0_only_biased,SBOX-COST,21,1,2,100,0.17225473895154575,ok
003bcd0a-c451-43a1-bd1e-77851ceeba0f,EnhancedHybridDEPSO,f0_only_biased,SBOX-COST,21,2,2,100,0.17252331902318696,ok
003bcd0a-c451-43a1-bd1e-77851ceeba0f,EnhancedHybridDEPSO,f0_only_biased,SBOX-COST,23,1,2,100,0.1292935665404289,ok
003bcd0a-c451-43a1-bd1e-77851ceeba0f,EnhancedHybridDEPSO,f0_only_biased,SBOX-COST,23,2,2,100,0.1147738570112975,ok
003bcd0a-c451-43a1-bd1e-77851ceeba0f,EnhancedHybridDEPSO,f0_only_biased,SBOX-COST,1,1,5,250,0.2054557338498917,ok
003bcd0a-c451-43a1-bd1e-77851ceeba0f,EnhancedHybridDEPSO,f0_only_biased,SBOX-COST,1,2,5,250,0.17687401275030945,ok
003bcd0a-c451-43a1-bd1e-77851ceeba0f,EnhancedHybridDEPSO,f0_only_biased,SBOX-COST,3,1,5,250,0.0040000000000000036,ok
003bcd0a-c451-43a1-bd1e-77851ceeba0f,EnhancedHybridDEPSO,f0_only_biased,SBOX-COST,3,2,5,250,0.03574290265623359,ok
003bcd0a-c451-43a1-bd1e-77851ceeba0f,EnhancedHybridDEPSO,f0_only_biased,SBOX-COST,5,1,5,250,0.4930588359780509,ok
003bcd0a-c451-43a1-bd1e-77851ceeba0f,EnhancedHybridDEPSO,f0_only_biased,SBOX-COST,5,2,5,250,0.5575940534411509,ok
003bcd0a-c451-43a1-bd1e-77851ceeba0f,EnhancedHybridDEPSO,f0_only_biased,SBOX-COST,8,1,5,250,0.04271996248527965,ok
